KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,1999-01,4.10471,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,1999-02,4.248315,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,1999-03,4.2962043478261,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,1999-04,4.2795954545455,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,1999-05,4.1804952380952,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,1999-06,4.0939181818182,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,1999-07,4.0171909090909,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,1999-08,4.1965636363636,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,1999-09,4.2908181818182,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,1999-10,4.401380952381,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
