horizon,n_obs,r_squared,adj_r_squared,f_statistic,f_pvalue,DL_Gas_EUR_coef,DL_Gas_EUR_se,DL_Gas_EUR_tstat,DL_Gas_EUR_pvalue,DL_Gas_EUR_ci_lower,DL_Gas_EUR_ci_upper,DL_Gas_EUR_significant,DL_XR_Local_coef,DL_XR_Local_se,DL_XR_Local_tstat,DL_XR_Local_pvalue,DL_XR_Local_ci_lower,DL_XR_Local_ci_upper,DL_XR_Local_significant,Interaction_Gas_FX_coef,Interaction_Gas_FX_se,Interaction_Gas_FX_tstat,Interaction_Gas_FX_pvalue,Interaction_Gas_FX_ci_lower,Interaction_Gas_FX_ci_upper,Interaction_Gas_FX_significant,variable,country
0,128,0.3811840032496474,0.35049891250169596,13.346304909790966,1.4465300273154211e-11,-0.004560566846859059,0.003040919562584639,-1.4997328120651738,0.13368362748583837,-0.01052076918952495,0.0013996354958068337,False,0.026804209093274113,0.03870115544210948,0.692594543678903,0.48856403545497773,-0.04905005557326047,0.10265847375980869,False,0.003928461846361024,0.003078317210447637,1.2761718750192617,0.20189476839718334,-0.002105039886116344,0.009961963578838391,False,HICP_Total,PL
1,128,0.4045563100262872,0.37503017663916094,13.79006030541776,6.776367308381269e-12,-0.002798667440104863,0.005256993350381079,-0.5323703595520028,0.5944695099339012,-0.013102374406851778,0.007505039526642051,False,0.06744167828705619,0.06411541500600186,1.0518793067274532,0.2928549270832953,-0.05822453512470746,0.19310789169881984,False,0.005196645734923485,0.004810312931569482,1.0803134450606215,0.28000262452356506,-0.0042315676109527,0.01462485908079967,False,HICP_Total,PL
2,127,0.4100434023980738,0.3805455725179775,11.449368334423525,4.255633762697459e-10,0.0015041390846873286,0.0066656484382175,0.2256553280043013,0.8214695049818762,-0.011560531854218972,0.014568810023593629,False,0.08912260895632215,0.07884503597289655,1.1303515542431686,0.2583281191035568,-0.06541366155055509,0.2436588794631994,False,0.0071846388693336885,0.006697303866166062,1.0727658491993444,0.2833761870053403,-0.005942076708351793,0.02031135444701917,False,HICP_Total,PL
3,126,0.40729793605297515,0.3774137983749739,8.510786019213462,1.0752719278092854e-07,0.006446990655240391,0.0092140953599694,0.699687859021876,0.48412226023736493,-0.011612636250299633,0.024506617560780417,False,0.1452697695673051,0.10050618063088654,1.4453814547068988,0.1483507696057553,-0.05172234446923249,0.3422618836038427,False,0.006637769260177943,0.008002589798083817,0.8294526431640076,0.40684832346278077,-0.009047306744066338,0.022322845264422225,False,HICP_Total,PL
4,125,0.4136115705867096,0.38379520976908466,7.2316405286602325,1.371227880131318e-06,0.009524025852542308,0.010525571716689849,0.9048464167927864,0.3655467573116912,-0.011106094712169797,0.03015414641725441,False,0.16892215094068042,0.11966306555769378,1.4116481986602383,0.1580535730265804,-0.0656174575523994,0.4034617594337602,False,0.004907025081659019,0.008340256488585563,0.5883542176879992,0.5562945607862111,-0.011439877635968685,0.021253927799286722,False,HICP_Total,PL
5,124,0.41325475754379093,0.3831652579306519,6.7538541438467306,3.6496056752754938e-06,0.014794726379028967,0.01266896947330645,1.1677924088617857,0.24289051088400915,-0.010036453788651674,0.03962590654670961,False,0.1807862177264326,0.12981202441618195,1.3926769768787026,0.16371749375537514,-0.07364535012928403,0.43521778558214924,False,0.003667179866392119,0.00933903485711361,0.3926722538784403,0.6945615661240481,-0.014637328453550558,0.021971688186334798,False,HICP_Total,PL
6,123,0.41605911420861086,0.3858552752883666,7.132042181006277,1.7351440497813067e-06,0.02262958148037244,0.015771277704245548,1.434860377500085,0.15132688851500953,-0.008282122819948834,0.05354128578069371,False,0.21620771509617326,0.15415501337357085,1.402534438320389,0.16075571409221479,-0.08593611111602562,0.5183515413083721,False,0.005970712822629548,0.00945658472760541,0.6313815182345908,0.5277910974078903,-0.012564193243477056,0.02450561888873615,False,HICP_Total,PL
7,122,0.422191737072108,0.39204521900630496,8.302344111450475,1.7722953718747348e-07,0.030891847859592994,0.018545357276878283,1.6657456310161192,0.0957640892193713,-0.0054570524030884415,0.06724074812227443,False,0.2389918053014319,0.17824643784155186,1.3407942856837243,0.17998725202371424,-0.11037121286800974,0.5883548234708735,False,0.00823385849725567,0.009408404717397179,0.8751598963456959,0.3814869105911086,-0.0102066147488428,0.02667433174335414,False,HICP_Total,PL
8,121,0.42885345119891016,0.39879310652516864,7.8811561813011375,4.1114735070178506e-07,0.036245188025170585,0.02143905608863252,1.690614916782116,0.09091037381807161,-0.005775361908549152,0.07826573795889033,False,0.22837303032981374,0.1985502142863639,1.1502028902393282,0.2500603161052626,-0.16078538967145953,0.617531450331087,False,0.009946755897614828,0.008328738452616053,1.1942692106618569,0.23237267745566503,-0.006377571469512636,0.02627108326474229,False,HICP_Total,PL
9,120,0.4272571110601262,0.39684598421376116,8.298637139462954,1.8739700880494533e-07,0.03958696497947392,0.023518014294898967,1.6832613707552806,0.09232450495515497,-0.0065083430385280555,0.0856822729974759,False,0.24841401450679204,0.20232577892980683,1.2277922063158084,0.21952498210394378,-0.14814451219562932,0.6449725412092134,False,0.01035185056906035,0.00784920083276092,1.318841343166287,0.18722215936556008,-0.005032583063151052,0.025736284201271754,False,HICP_Total,PL
